
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.0909090909090908","0.005753739930955121","0.09441887226697354","11","18","1.6363636363636365"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.4545454545454546","0.005178365937859609","0.09508055235903357","11","10","0.9090909090909091"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3636363636363635","0.00863060989643268","0.09493670886075944","11","22","2"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.004027617951668586","0.09525316455696209","11","10","0.9090909090909091"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.005753739930955121","0.09536823935558092","11","14","1.2727272727272727"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.5454545454545454","0.006904487917146146","0.09444764096662828","11","12","1.0909090909090908"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.1818181818181819","0.006904487917146146","0.09513808975834304","11","22","2"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2380952380952381","0.017781796262808923","0.09493670886075956","21","108","5.142857142857143"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6363636363636365","0.004027617951668585","0.09510932105868808","11","6","0.5454545454545454"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3636363636363635","0.013233601841196778","0.09480724971231291","22","78","3.5454545454545454"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6363636363636365","0.007479861910241656","0.09444764096662861","11","14","1.2727272727272727"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.1428571428571428","0.01145268233875829","0.09492163954189281","21","72","3.4285714285714284"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2","0.007479861910241656","0.09444764096662839","11","2","0.18181818181818182"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2","0.007479861910241658","0.09444764096662828","11","2","0.18181818181818182"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.380952380952381","0.018083182640144663","0.09486136226642561","21","106","5.0476190476190474"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2","0.007479861910241658","0.09444764096662828","11","2","0.18181818181818182"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4090909090909092","0.012658227848101267","0.09497986191024144","22","72","3.272727272727273"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.3636363636363635","0.01726121979286536","0.09470655926352112","22","110","5"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2857142857142858","0.0135623869801085","0.09505726341169363","21","80","3.8095238095238093"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5714285714285714","0.01717902350813743","0.0948915009041591","21","94","4.476190476190476"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.2380952380952381","0.012055455093429777","0.09484629294755853","21","72","3.4285714285714284"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.2857142857142858","0.011452682338758288","0.09528330319469547","21","64","3.0476190476190474"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4545454545454546","0.017548906789413118","0.0952963176064443","22","108","4.909090909090909"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6818181818181819","0.012082853855005753","0.09489355581127723","22","66","3"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5238095238095237","0.011754068716094034","0.09528330319469547","21","56","2.6666666666666665"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6363636363636365","0.01611047180667434","0.09479286536248566","22","86","3.909090909090909"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.7619047619047619","0.01567209162145871","0.0944544906570225","21","62","2.9523809523809526"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7142857142857142","0.014767932489451473","0.09472573839662435","21","78","3.7142857142857144"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.372093023255814","0.027671474830733","0.09468648807771551","43","342","7.953488372093023"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.4285714285714286","0.02848101265822786","0.09496684749849293","42","340","8.095238095238095"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.641025641025641","0.027750730282375857","0.09476630963972732","39","304","7.794871794871795"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.2954545454545454","0.03811852704257768","0.0951165132336016","44","508","11.545454545454545"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.4047619047619047","0.024412296564195295","0.09483875828812538","42","302","7.190476190476191"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.35","0.023101265822784822","0.09490506329113901","40","260","6.5"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.3902439024390243","0.029330040135844396","0.09491355356591569","41","354","8.634146341463415"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5476190476190477","0.028028933092224227","0.09487643158529224","42","314","7.476190476190476"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.4523809523809523","0.024864376130198915","0.09508740204942712","42","298","7.095238095238095"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","8","1.4390243902439024","0.027940722445199132","0.09450447669033635","41","310","7.560975609756097"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.558139534883721","0.027671474830732998","0.09475272299087412","43","322","7.488372093023256"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7142857142857142","0.02848101265822784","0.09497438215792642","42","320","7.619047619047619"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.6904761904761905","0.026220614828209768","0.09484629294755886","42","276","6.571428571428571"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.619047619047619","0.023206751054852322","0.0947634116937911","42","272","6.476190476190476"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.65","0.021518987341772162","0.0950237341772151","40","216","5.4"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.7142857142857142","0.02471368294153105","0.09484629294755875","42","252","6"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.9523809523809523","0.02697408077154913","0.09501959011452665","42","272","6.476190476190476"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5227272727272727","0.032652474108170314","0.09495109321058692","44","424","9.636363636363637"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2.0238095238095237","0.025316455696202535","0.09511754068716072","42","242","5.761904761904762"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.7066666666666668","0.052405063291139226","0.09478902953586499","75","1174","15.653333333333334"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5060240963855422","0.05429312185450663","0.09486807991459478","83","1356","16.337349397590362"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.3625","0.05031645569620251","0.09505537974683542","80","1224","15.3"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.4078947368421053","0.048634243837441686","0.0948867421718852","76","1122","14.763157894736842"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","9","1.6538461538461537","0.05688088283024989","0.09466488153197017","78","1308","16.76923076923077"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.5512820512820513","0.04552093476144107","0.09513550795196402","78","1058","13.564102564102564"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.5949367088607596","0.04846979650697001","0.09497276077551697","79","1122","14.20253164556962"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.475","0.04762658227848097","0.09492088607594928","80","1150","14.375"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.617283950617284","0.05485232067510547","0.09504610095327404","81","1296","16"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.6506024096385543","0.054750648162269336","0.0948147018453559","83","1338","16.120481927710845"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.5125","0.05126582278481011","0.09510284810126612","80","1232","15.4"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.605263157894737","0.04755163224516986","0.09497834776815473","76","1082","14.236842105263158"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.4691358024691359","0.055086732301922174","0.09496015002344094","81","1360","16.790123456790123"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","10","2.0384615384615383","0.05663745537163256","0.09465271015903942","78","1252","16.05128205128205"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","8","1.7848101265822784","0.04983175773113279","0.0949887838487421","79","1126","14.253164556962025"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.675","0.046518987341772115","0.09505537974683576","80","1102","13.775"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2.0120481927710845","0.05337806923898124","0.09487570535305756","83","1264","15.228915662650602"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","11","2.1538461538461537","0.05826030509574812","0.09460402466731577","78","1258","16.128205128205128"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","9","1.8227848101265822","0.05031244992789614","0.09503284730011197","79","1142","14.455696202531646"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","8","1.8375","0.04636075949367087","0.09504351265822775","80","1070","13.375"
"10","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.5492957746478873","0.09489213763594222","0.09502139418791233","142","4170","29.366197183098592"
"4","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.6081081081081081","0.08963393773520344","0.09513342456380436","148","4066","27.472972972972972"
"6","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.7753623188405796","0.0825077967345441","0.0949275362318841","138","3472","25.159420289855074"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","8","1.4967741935483871","0.09951000408329928","0.09501633319722413","155","4750","30.64516129032258"
"1","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.5405405405405406","0.09694663017447826","0.09507569278138883","148","4418","29.85135135135135"
"5","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.48","0.08890295358649784","0.0950822784810127","150","4130","27.533333333333335"
"3","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.7006369426751593","0.09562202692896875","0.09496089655728457","157","4572","29.121019108280255"
"7","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","12","1.82","0.09843881856540077","0.09479957805907224","150","4498","29.986666666666668"
"9","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","10","1.6486486486486487","0.09066028053369826","0.09501368457064718","148","4042","27.31081081081081"
"8","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","9","1.6979865771812082","0.08869254948602488","0.0950450259111375","149","4018","26.966442953020135"
"2","82","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","9","1.735483870967742","0.09665169456921184","0.09513066557778727","155","4556","29.393548387096775"
