
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.5","0.012658227848101267","0.7889240506329114","10","32","3.2"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.4","0.01582278481012658","0.7889240506329114","10","44","4.4"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.7","0.01329113924050633","0.7889240506329114","10","32","3.2"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.4","0.010759493670886074","0.7892088607594937","10","28","2.8"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2","0.012658227848101267","0.7889240506329114","10","36","3.6"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.3","0.01139240506329114","0.7889240506329114","10","30","3"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.5","0.01329113924050633","0.7892088607594937","10","34","3.4"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1","0.013924050632911394","0.7889240506329114","10","42","4.2"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.6","0.012658227848101267","0.7920569620253165","10","28","2.8"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.6","0.015189873417721517","0.7897784810126582","10","40","4"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","2.1","0.013924050632911394","0.7889240506329114","10","24","2.4"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.6","0.012658227848101267","0.7889240506329114","10","28","2.8"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.8","0.012025316455696202","0.7966139240506329","10","28","2.8"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4","0.012658227848101267","0.7889240506329114","10","32","3.2"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.7","0.010126582278481015","0.7909177215189873","10","22","2.2"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.6","0.011392405063291138","0.7889240506329114","10","22","2.2"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","2","0.013291139240506327","0.7892088607594937","10","22","2.2"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.8","0.0120253164556962","0.7892088607594937","10","18","1.8"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.8","0.0120253164556962","0.7943354430379748","10","22","2.2"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5","0.0120253164556962","0.7912025316455696","10","26","2.6"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","3.3","0.013924050632911394","0.7889240506329114","10","10","1"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3","0.012658227848101267","0.7892088607594937","10","34","3.4"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","2.4","0.013291139240506327","0.7892088607594937","10","16","1.6"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","3.3","0.013924050632911394","0.7889240506329114","10","10","1"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","3.4","0.013924050632911394","0.7889240506329114","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.5","0.010126582278481013","0.795759493670886","10","20","2"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","2.8","0.013291139240506327","0.7892088607594937","10","10","1"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","3.4","0.013924050632911392","0.7889240506329114","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","2.1818181818181817","0.01611047180667434","0.7899597238204833","11","34","3.090909090909091"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","2.9","0.013291139240506327","0.7892088607594937","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","3.4","0.013924050632911394","0.7889240506329114","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","2.727272727272727","0.014384349827387804","0.7959148446490218","11","30","2.727272727272727"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5","0.013924050632911394","0.789493670886076","10","30","3"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.6363636363636365","0.012082853855005753","0.7933256616800921","11","22","2"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","2.076923076923077","0.016553067185978577","0.7933057448880234","13","36","2.769230769230769"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","2.9","0.013291139240506327","0.7892088607594937","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.7272727272727273","0.01093210586881473","0.7943613348676639","11","22","2"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","2.1","0.010126582278481011","0.795759493670886","10","8","0.8"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.8181818181818181","0.013808975834292293","0.7992807825086305","11","34","3.090909090909091"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.7272727272727273","0.012658227848101267","0.7904775604142693","11","24","2.1818181818181817"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","8","2.6","0.013924050632911392","0.7889240506329114","10","14","1.4"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","2.9","0.01329113924050633","0.7892088607594937","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","9","2.6","0.013924050632911392","0.7889240506329114","10","14","1.4"
