
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.0909090909090908","0.00805523590333717","0.8515822784810126","11","26","2.3636363636363638"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.005178365937859609","0.8544303797468354","11","12","1.0909090909090908"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.005178365937859608","0.8588319907940161","11","12","1.0909090909090908"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.004027617951668585","0.8575373993095512","11","8","0.7272727272727273"
"2","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.3636363636363635","0.005753739930955123","0.8588319907940161","11","14","1.2727272727272727"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1818181818181819","0.005753739930955121","0.8572784810126582","11","16","1.4545454545454546"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.0046029919447640975","0.8554660529344074","11","10","0.9090909090909091"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.003452243958573073","0.8544303797468354","11","6","0.5454545454545454"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1538461538461537","0.004868549172346641","0.8594693281402142","13","16","1.2307692307692308"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4545454545454546","0.00517836593785961","0.8544303797468354","11","10","0.9090909090909091"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.7272727272727273","0.005753739930955121","0.8572784810126582","11","6","0.5454545454545454"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.7272727272727273","0.005753739930955121","0.8572784810126581","11","6","0.5454545454545454"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.4545454545454546","0.00517836593785961","0.8544303797468354","11","10","0.9090909090909091"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3636363636363635","0.00805523590333717","0.8515822784810126","11","20","1.8181818181818181"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4545454545454546","0.0046029919447640975","0.8554660529344074","11","6","0.5454545454545454"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4545454545454546","0.006329113924050633","0.8557249712313004","11","14","1.2727272727272727"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3636363636363635","0.005753739930955121","0.8539125431530494","11","14","1.2727272727272727"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.8181818181818181","0.005753739930955121","0.8572784810126581","11","2","0.18181818181818182"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.4545454545454546","0.005753739930955121","0.8554660529344074","11","12","1.0909090909090908"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5454545454545454","0.00805523590333717","0.8515822784810126","11","16","1.4545454545454546"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3636363636363635","0.003452243958573073","0.8544303797468354","11","4","0.36363636363636365"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.7272727272727273","0.005178365937859608","0.8588319907940161","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.8181818181818181","0.005753739930955121","0.8572784810126582","11","2","0.18181818181818182"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.6363636363636365","0.0046029919447640975","0.8554660529344074","11","2","0.18181818181818182"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.7272727272727273","0.006329113924050634","0.8557249712313004","11","4","0.36363636363636365"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.8181818181818181","0.00805523590333717","0.8515822784810126","11","10","0.9090909090909091"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3076923076923077","0.004381694255111977","0.8605647517039922","13","8","0.6153846153846154"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","2","0.005753739930955121","0.8539125431530494","11","4","0.36363636363636365"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.4545454545454546","0.005753739930955121","0.8554660529344074","11","12","1.0909090909090908"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.7272727272727273","0.005178365937859608","0.8588319907940161","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.8181818181818181","0.005753739930955121","0.8572784810126581","11","2","0.18181818181818182"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.9090909090909092","0.0046029919447640975","0.8554660529344074","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","2","0.005753739930955121","0.8539125431530495","11","4","0.36363636363636365"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","1.7272727272727273","0.005178365937859608","0.8588319907940161","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.5384615384615385","0.009737098344693282","0.8559639727361246","13","32","2.4615384615384617"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.8181818181818181","0.006329113924050634","0.8557249712313004","11","2","0.18181818181818182"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5454545454545454","0.004027617951668585","0.8528768699654776","11","4","0.36363636363636365"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","1.8181818181818181","0.005753739930955121","0.8572784810126582","11","2","0.18181818181818182"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.9090909090909092","0.0046029919447640975","0.8554660529344074","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.3846153846153846","0.004381694255111977","0.8605647517039922","13","6","0.46153846153846156"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","2.5454545454545454","0.00805523590333717","0.8515822784810126","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.8181818181818181","0.006329113924050634","0.8557249712313004","11","2","0.18181818181818182"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","1.9090909090909092","0.004602991944764097","0.8554660529344074","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","1.8181818181818181","0.005753739930955121","0.8572784810126581","11","2","0.18181818181818182"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.5454545454545454","0.004027617951668585","0.8528768699654776","11","4","0.36363636363636365"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","8","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","1.9090909090909092","0.0046029919447640975","0.8554660529344074","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","1.8181818181818181","0.006329113924050634","0.8557249712313003","11","2","0.18181818181818182"
"2","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.6923076923076923","0.009737098344693282","0.8559639727361246","13","22","1.6923076923076923"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","8","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.3846153846153846","0.004381694255111977","0.8605647517039922","13","6","0.46153846153846156"
"3","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","8","2.090909090909091","0.005753739930955121","0.8572784810126582","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.6363636363636365","0.004027617951668585","0.8528768699654776","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","9","1.7272727272727273","0.00517836593785961","0.8588319907940161","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","9","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","7","1.8181818181818181","0.006329113924050634","0.8557249712313003","11","2","0.18181818181818182"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","2","0.006856540084388186","0.8539556962025316","12","4","0.3333333333333333"
"4","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","2.4166666666666665","0.007911392405063292","0.8527689873417721","12","2","0.16666666666666666"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","10","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","5","1.3846153846153846","0.004381694255111977","0.8605647517039923","13","6","0.46153846153846156"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","10","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","8","2","0.006329113924050634","0.8557249712313003","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","6","2","0.006856540084388186","0.8539556962025316","12","4","0.3333333333333333"
"8","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","11","1.9090909090909092","0.005753739930955121","0.8554660529344074","11","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","10","10","10","false","false","11","1.7272727272727273","0.005178365937859609","0.8588319907940161","11","0","0"
