
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.263157894736842","0.3684210526315789","0.22499999999999976","19","18","0.9473684210526315"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.3","0.1","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.3","0.1","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.3","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1","0","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.3","0.1","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.2222222222222223","0.3333333333333333","0.22499999999999976","18","16","0.8888888888888888"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.3","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.5263157894736843","0.3157894736842105","0.22499999999999976","19","8","0.42105263157894735"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.3","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.3","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.5789473684210527","0.3157894736842105","0.22499999999999976","19","4","0.21052631578947367"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.3","0.1","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.3","0.1","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.3","0.1","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.1","0.1","0.22499999999999987","10","2","0.2"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.3","0.1","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.1","0.05","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.3333333333333333","0.2777777777777778","0.22499999999999976","18","10","0.5555555555555556"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.3","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.5789473684210527","0.3157894736842105","0.22499999999999976","19","4","0.21052631578947367"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.3","0.1","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.3","0.1","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.1","0.05","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.3","0.1","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.1","0.1","0.22499999999999987","10","2","0.2"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1.3","0.1","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1.3","0.1","0.22499999999999987","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.2","0.175","0.24749999999999983","20","6","0.3"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.2941176470588236","0.23529411764705882","0.22499999999999976","17","6","0.35294117647058826"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","24","1.3","0.1","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","25","1.3","0.1","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.1","0.1","0.22499999999999987","10","2","0.2"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.5555555555555556","0.2777777777777778","0.22499999999999976","18","4","0.2222222222222222"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.5789473684210527","0.3157894736842105","0.22499999999999976","19","4","0.21052631578947367"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.1","0.05","0.22499999999999987","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.2","0.15","0.24749999999999983","20","4","0.2"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.0526315789473684","0.07894736842105263","0.2723684210526315","19","4","0.21052631578947367"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.2","0.1","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.2","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.6842105263157894","0.3157894736842105","0.22499999999999976","19","2","0.10526315789473684"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.1","0.05","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.2","0.1","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.2","0.1","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.2","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.105263157894737","0.05263157894736842","0.2723684210526315","19","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.736842105263158","0.3157894736842105","0.22499999999999976","19","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.2","0.1","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.2","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.736842105263158","0.3157894736842105","0.22499999999999976","19","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.2","0.1","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.6842105263157894","0.3157894736842105","0.22499999999999976","19","2","0.10526315789473684"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.2","0.1","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.3157894736842106","0.23684210526315788","0.24868421052631562","19","6","0.3157894736842105"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.2","0.1","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
