
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"5","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1","0.014556962025316455","0.08772151898734182","10","44","4.4"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2","0.012025316455696202","0.08768987341772161","10","34","3.4"
"5","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1","0.013291139240506327","0.08765822784810129","10","40","4"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.3","0.010759493670886074","0.08822784810126583","10","28","2.8"
"10","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1","0.012658227848101267","0.08772151898734182","10","38","3.8"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.7","0.016455696202531643","0.08768987341772161","10","40","4"
"1","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.7","0.012025316455696202","0.08772151898734182","10","28","2.8"
"8","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1","0.010759493670886078","0.08895569620253174","10","32","3.2"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4","0.014556962025316459","0.08772151898734182","10","40","4"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4","0.012025316455696202","0.08825949367088604","10","30","3"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.5","0.010759493670886074","0.08835443037974677","10","26","2.6"
"5","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.2","0.01139240506329114","0.08778481012658224","10","32","3.2"
"1","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.8","0.0120253164556962","0.08772151898734182","10","26","2.6"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","2.3","0.015189873417721517","0.0879113924050634","10","26","2.6"
